Sector,"I see myself as someone who is extraverted, enthusiastic:","I see myself as someone who is critical, quarrelsome:","I see myself as someone who is dependable, self-disciplined:","I see myself as someone who is anxious, easily upset:",I see myself as someone who is open to new experiences:,"I see myself as someone who is reserved, quiet:","I see myself as someone who is sympathetic, warm:","I see myself as someone who is disorganized, careless:","I see myself as someone who is calm, emotionally stable:","I see myself as someone who is conventional, uncreative:","Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,Do you smoke more frequently during the first hours after waking up than during the rest of the day?,Do you smoke if you are so ill that you are in bed most of the day?,How soon after you wake up do you smoke your first cigarette?,Which cigarette would you mostly hate to give up?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,How would you describe your current smoking behavior compared to your smoking behavior before Lebanon's economic crisis and revolution began in 2019?,Are you currently able to afford your favorite or preferred cigarette brand(s)?,Gender:,How old are you?,Which governerate do you live in or spend most of your time in?,What is the highest level of education you have attained?,What is your current employment status?,What is your current marital status?,Do you have close friends?,"Of the five closest friends or acquaintances that you spend time with on a regular basis, how many of them are smokers?",What is your main source of income?,What type of income or financial support does your household receive?,How would you describe your current income sufficiency?,"Including yourself, how many people currently live in your household?",To what extent were you financially (negatively) affected by the deterioration of the Lebanese economy?,How often do you exercise?,"On average, how many hours per day do you spend on social media for entertainment and social interaction (Facebook, Instagram, YouTube, etc...)?",How often do you feel stressed?,Employment Status,cigarettes_per_day_num,time_to_first_cigarette_num,dependency_label
Private,Agree moderately,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree strongly,Yes,10 or less cigarettes/day,Yes,Yes,6 to 30 minutes,The first one in the morning,27,The number of cigarettes I smoke per day has remained the same,Yes,Female,29,Beirut,Bachelor's degree (BA/BS),Student only,Single,No,0,"Other, please specify","Other, please specify",Medium: covers all basic needs,1,Not at all,Never,Between 3 and 4 hours,Frequently,Unemployed,1,2,1
Private,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,21 to 30 cigarettes,Yes,Yes,31 to 60 minutes,All others,10,The number of cigarettes I smoke per day has increased,No,Male,22,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,Single,Yes,4,Parents,Fully in US Dollars,High: completely covers necessities with a few luxury items,2,Not at all,Sometimes or a few days every month,Less than 1 hour,Frequently,Employed,3,1,1
Private,Agree strongly,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,No,10 or less cigarettes/day,No,No,after 60 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,Yes,Male,27,Beirut,"Post-graduate degree (PhD, MD, or other)",Student only,Single,Yes,4,Job,Mixed,High: completely covers necessities with a few luxury items,1,Slightly,Sometimes or a few days every month,Between 1 hour and 2 hours,Rarely,Unemployed,1,0,0
Private,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Disagree a little,Disagree a little,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,18,The number of cigarettes I smoke per day has decreased,Yes,Female,24,North Lebanon,Graduate degree (MA/MS),Student with a part-time or full-time job,Single,Yes,2,Parents,Fully in Lebanese Lira,Medium: covers all basic needs,4,Moderately,Every day or at least 5 times every week,More than 4 hours,Occasionally,Employed,1,0,0
Private,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,16,The number of cigarettes I smoke per day has remained the same,Yes,Female,19,Mount Lebanon,Incomplete bachelor's degree,Student only,Single,Yes,3,Parents,Mixed,Medium: covers all basic needs,6,Very,Often or at least 3 days every week,Between 2 and 3 hours,Constantly,Unemployed,1,0,0
Private,Agree strongly,Agree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,17,The number of cigarettes I smoke per day has increased,No,Male,23,Mount Lebanon,Incomplete graduate degree,Student with a part-time or full-time job,Single,Yes,1,"Other, please specify",Mixed,Medium: covers all basic needs,5,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed,1,0,0
Private,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Agree moderately,Agree strongly,Neither agree nor disagree,Disagree moderately,No,10 or less cigarettes/day,Yes,No,after 60 minutes,All others,16,The number of cigarettes I smoke per day has increased,No,Female,21,Keserwan - Jbeil,Graduate degree (MA/MS),Student with a part-time or full-time job,"Other, please specify",Yes,2,Job,Fully in Lebanese Lira,Very low income: does not cover basic needs for a month,5,Moderately,Never,Between 2 and 3 hours,Frequently,Employed,1,0,0
Private,Disagree moderately,Neither agree nor disagree,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,within 5 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,No,Female,22,Beirut,Incomplete bachelor's degree,Student only,Single,Yes,3,"Other, please specify","Other, please specify",Medium: covers all basic needs,0,Moderately,Never,More than 4 hours,Constantly,Unemployed,4,3,2
Private,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,Yes,Male,19,Beirut,Incomplete bachelor's degree,Student only,Single,Yes,2,Parents,Mixed,Medium: covers all basic needs,0,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Frequently,Unemployed,1,0,0
Private,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Yes,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,All others,16,The number of cigarettes I smoke per day has increased,Yes,Male,20,Beirut,Bachelor's degree (BA/BS),Student only,Single,Yes,4,Investment,Fully in US Dollars,Extremely high: covers a wide range of luxury items,7,Not at all,Sometimes or a few days every month,Between 3 and 4 hours,Occasionally,Unemployed,2,2,1
Private,Agree strongly,Agree moderately,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,17,The number of cigarettes I smoke per day has decreased,Yes,Female,18,Beirut,Bachelor's degree (BA/BS),Student only,Single,Yes,5,Parents,Mixed,High: completely covers necessities with a few luxury items,4,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed,2,1,1
Private,Disagree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Yes,10 or less cigarettes/day,No,No,after 60 minutes,All others,22,The number of cigarettes I smoke per day has remained the same,Yes,Female,22,Beirut,Bachelor's degree (BA/BS),Student only,Single,Yes,3,Parents,Fully in Lebanese Lira,Low: barely covers basic needs for a month,4,Very,Never,Between 2 and 3 hours,Frequently,Unemployed,1,0,0
Private,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree moderately,Disagree a little,Yes,10 or less cigarettes/day,No,No,31 to 60 minutes,All others,19,The number of cigarettes I smoke per day has increased,Yes,Female,21,Beirut,Bachelor's degree (BA/BS),Student only,Single,Yes,2,Parents,Fully in Lebanese Lira,Medium: covers all basic needs,3,Moderately,Sometimes or a few days every month,More than 4 hours,Frequently,Unemployed,1,1,1
Private,Agree moderately,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree strongly,Disagree strongly,No,10 or less cigarettes/day,No,No,after 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has remained the same,Yes,Male,18,Beirut,High school degree or equivalent (e.g. GED),Student only,Single,Yes,5,Investment,Mixed,High: completely covers necessities with a few luxury items,5,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Rarely,Unemployed,1,0,0
Private,Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,No,10 or less cigarettes/day,No,No,31 to 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has decreased,Yes,Female,21,Beirut,Incomplete bachelor's degree,Student only,Single,Yes,3,Parents,Fully in Lebanese Lira,Medium: covers all basic needs,5,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed,1,1,1
Private,Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,27,The number of cigarettes I smoke per day has increased,Yes,Female,27,Beqaa,Graduate degree (MA/MS),Student with a part-time or full-time job,Single,Yes,5,Job,Fully in Lebanese Lira,Medium: covers all basic needs,2,Extremely,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Employed,1,0,0
Private,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree moderately,Disagree strongly,Agree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,Yes,Female,18,Beirut,Incomplete bachelor's degree,Student only,Single,Yes,3,Parents,Fully in Lebanese Lira,Medium: covers all basic needs,6,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed,1,0,0
Private,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree a little,Yes,10 or less cigarettes/day,No,No,after 60 minutes,All others,15,The number of cigarettes I smoke per day has decreased,Yes,Male,26,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,Single,Yes,2,Job,Mixed,Medium: covers all basic needs,4,Not at all,Every day or at least 5 times every week,I don't use any social media platforms,Occasionally,Employed,1,0,0
Private,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,23,The number of cigarettes I smoke per day has remained the same,Yes,Female,24,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,Single,Yes,0,Parents,Mixed,Low: barely covers basic needs for a month,2,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Employed,1,0,0
Private,Disagree a little,Agree moderately,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Disagree strongly,Yes,10 or less cigarettes/day,Yes,Yes,6 to 30 minutes,The first one in the morning,14,The number of cigarettes I smoke per day has remained the same,No,Female,20,Beirut,Incomplete bachelor's degree,Student with a part-time or full-time job,Single,Yes,5,Job,Mixed,Medium: covers all basic needs,4,Very,Sometimes or a few days every month,Between 3 and 4 hours,Constantly,Employed,1,2,1
Private,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,No,10 or less cigarettes/day,No,Yes,31 to 60 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,Yes,Male,24,Beirut,Bachelor's degree (BA/BS),Student only,Single,Yes,2,"Other, please specify",Fully in US Dollars,Medium: covers all basic needs,1,Moderately,Never,Between 1 hour and 2 hours,Frequently,Unemployed,1,1,1
Private,Agree a little,Neither agree nor disagree,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,21,The number of cigarettes I smoke per day has increased,No,Male,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,Single,Yes,5,Parents,Fully in Lebanese Lira,Medium: covers all basic needs,4,Moderately,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Employed,1,0,0
Private,Agree moderately,Agree strongly,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree a little,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,Yes,Male,22,Beirut,Graduate degree (MA/MS),Student only,Single,Yes,4,Parents,Fully in Lebanese Lira,Medium: covers all basic needs,3,Very,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed,3,2,2
Private,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree strongly,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,after 60 minutes,The first one in the morning,25,The number of cigarettes I smoke per day has remained the same,Yes,Male,28,Mount Lebanon,Graduate degree (MA/MS),Employee; full-time,Single,Yes,1,Job,Fully in Lebanese Lira,Low: barely covers basic needs for a month,4,Very,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Employed,1,0,0
Private,Agree a little,Agree moderately,Agree strongly,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,31 to 60 minutes,All others,17,The number of cigarettes I smoke per day has increased,Yes,Male,18,Mount Lebanon,Incomplete bachelor's degree,Student only,Single,Yes,3,Parents,Mixed,High: completely covers necessities with a few luxury items,4,Moderately,Sometimes or a few days every month,More than 4 hours,Frequently,Unemployed,1,1,1
Private,Agree a little,Agree a little,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Disagree a little,Agree a little,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,20,The number of cigarettes I smoke per day has decreased,No,Female,28,Mount Lebanon,"Post-graduate degree (PhD, MD, or other)",Student with a part-time or full-time job,Single,Yes,2,Job,Mixed,Medium: covers all basic needs,5,Very,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Employed,1,0,0
Private,Disagree a little,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Neither agree nor disagree,Disagree moderately,No,10 or less cigarettes/day,No,No,6 to 30 minutes,All others,15,The number of cigarettes I smoke per day has increased,Yes,Female,18,Mount Lebanon,Incomplete bachelor's degree,Student only,Single,Yes,5,Parents,Mixed,High: completely covers necessities with a few luxury items,8,Moderately,Never,Between 1 hour and 2 hours,Frequently,Unemployed,1,2,1
Private,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Neither agree nor disagree,Disagree a little,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,16,The number of cigarettes I smoke per day has increased,Yes,Female,23,Mount Lebanon,Incomplete graduate degree,Student only,Engaged,Yes,2,"Other, please specify",Mixed,Medium: covers all basic needs,3,Slightly,Sometimes or a few days every month,Between 1 hour and 2 hours,Constantly,Unemployed,1,0,0
Private,Agree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,No,11 to 20 cigarettes,Yes,No,after 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has decreased,No,Male,21,Beirut,Incomplete bachelor's degree,Student only,Single,Yes,2,Parents,Mixed,Medium: covers all basic needs,6,Moderately,Sometimes or a few days every month,Less than 1 hour,Occasionally,Unemployed,2,0,1
Private,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree moderately,Disagree moderately,Disagree a little,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,14,The number of cigarettes I smoke per day has decreased,Yes,Female,18,Beirut,High school degree or equivalent (e.g. GED),Student only,Single,Yes,1,Parents,Mixed,High: completely covers necessities with a few luxury items,4,Slightly,Sometimes or a few days every month,More than 4 hours,Constantly,Unemployed,1,0,0
Private,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,No,21 to 30 cigarettes,No,No,6 to 30 minutes,All others,18,The number of cigarettes I smoke per day has increased,No,Female,21,Beirut,Incomplete bachelor's degree,Student only,Single,Yes,5,"Other, please specify","Other, please specify",Medium: covers all basic needs,1,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed,3,2,2
Private,Agree strongly,,Agree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,18,The number of cigarettes I smoke per day has increased,Yes,Female,18,Beirut,Incomplete bachelor's degree,Student only,"Other, please specify",Yes,5,Parents,Mixed,Medium: covers all basic needs,5,Very,Never,Between 2 and 3 hours,Frequently,Unemployed,1,0,0
Private,Agree a little,Agree a little,Disagree a little,Agree a little,Agree moderately,Disagree a little,Disagree a little,Agree a little,Disagree a little,Disagree a little,Yes,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has increased,Yes,Male,23,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,Single,Yes,3,Job,Fully in US Dollars,Medium: covers all basic needs,5,Very,Often or at least 3 days every week,Between 1 hour and 2 hours,Frequently,Employed,2,2,1
Private,Agree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree a little,Disagree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,after 60 minutes,All others,14,The number of cigarettes I smoke per day has remained the same,Yes,Female,24,Beirut,Graduate degree (MA/MS),Student only,Single,Yes,4,Parents,Fully in US Dollars,High: completely covers necessities with a few luxury items,5,Not at all,Every day or at least 5 times every week,Between 1 hour and 2 hours,Frequently,Unemployed,1,0,0
Private,Disagree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Disagree strongly,Agree moderately,Disagree strongly,No,11 to 20 cigarettes,No,No,31 to 60 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,Yes,Male,22,Keserwan - Jbeil,Graduate degree (MA/MS),Student with a part-time or full-time job,Single,No,5,Parents,Fully in US Dollars,High: completely covers necessities with a few luxury items,3,Slightly,Never,Between 2 and 3 hours,Frequently,Employed,2,1,1
Private,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,Yes,10 or less cigarettes/day,No,No,after 60 minutes,All others,21,The number of cigarettes I smoke per day has decreased,Yes,Female,28,Mount Lebanon,Bachelor's degree (BA/BS),Employee; full-time,"Other, please specify",Yes,2,Job,Fully in US Dollars,High: completely covers necessities with a few luxury items,0,Not at all,Often or at least 3 days every week,Between 3 and 4 hours,Frequently,Employed,1,0,0
Private,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,15,The number of cigarettes I smoke per day has remained the same,Yes,Female,22,Beirut,Graduate degree (MA/MS),Employee; full-time,Single,Yes,2,Job,Fully in US Dollars,High: completely covers necessities with a few luxury items,3,Slightly,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed,2,1,1
Private,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,6 to 30 minutes,All others,17,The number of cigarettes I smoke per day has increased,Yes,Female,20,Mount Lebanon,Incomplete bachelor's degree,Student only,Single,Yes,4,Parents,Mixed,Medium: covers all basic needs,2,Moderately,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Unemployed,2,2,1
Private,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,No,10 or less cigarettes/day,Yes,No,after 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,Yes,Male,20,Mount Lebanon,Bachelor's degree (BA/BS),Student only,Single,Yes,3,Parents,Fully in Lebanese Lira,Medium: covers all basic needs,2,Very,Often or at least 3 days every week,More than 4 hours,Frequently,Unemployed,1,0,0
Private,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,Agree a little,Disagree strongly,Agree strongly,Disagree a little,No,21 to 30 cigarettes,No,Yes,6 to 30 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has decreased,Yes,Male,23,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,Single,Yes,4,Job,Mixed,High: completely covers necessities with a few luxury items,6,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Employed,3,2,2
